待测天线,频率范围,测试项,测试角度,测试误差,转台载重,转台直径,测试半径
GNSS​,1559MHz~1606MHz，步进值5MHz1164MHz~1270MHz，步进值5MHz,"0°, 10°, 20°, 30°, 40°, 50°, 60°, 70°, 80°俯仰角下的LAG和AR (Passive & Active)",俯仰角：0~80度，步进值10度方位角：0~360度，步进值1度,—,—,—,—
,,2D/3D辐射方向图,俯仰角：0~180度，步进值5度方位角：0~360度，步进值1度,,,,
Cellular​,617MHz~960MHz，步进值20MHz1427.9MHz~1510.9MHz，步进值20MHz1710MHz~2170MHz，步进值20MHz2300MHz~2400MHz，步进值20MHz2483MHz~2690MHz，步进值20MHz3300MHz~4200MHz，步进值50MHz4400MHz~5000MHz，步进值50MHz,60°~90°俯仰角下的LAG,俯仰角：60~90度，步进值2度方位角：0~360度，步进值1度,<±1dB,>3.5T,>5.5M,>5M
,,2D/3D辐射方向图和效率,俯仰角：0~180度，步进值5度方位角：0~360度，步进值1度,,,,
V2X​,5855MHz~5925MHz，步进值5MHz,89°~91°俯仰角下的LAG84°~90°俯仰角下的LAG90°~96°俯仰角下的LAG,俯仰角：80~100度，步进值1度方位角：0~360度，步进值1度,,,,
,,2D/3D辐射方向图和效率,俯仰角：0~180度，步进值5度方位角：0~360度，步进值1度,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
待测天线种类,测试频点设置,测试结果输出,测试角度设置,,,,
GNSS​,频率范围按照 AH 要求频率步进 1MHz,1. 不同俯仰角切面的 LAG 和 AR（含无源及有源）2. 无源天线效率3. 2D 辐射方向图，俯视及侧视（含无源及有源）,俯仰角：0~180 度，步进值 1 度方位角：0~360 度，步进值 1 度,,,,
